id	category	before_path	after_path	archive_path	tags	purpose	needed	builtin_alternative	overlap	context_load	false_positive	failure_impact	verification	low_cost_model	deterministic_replacement	disposition	evidence
shared-rule:git-safety	shared-rule	shared/rules/git-safety.md	-	-		git-safety shared guidance	medium	partial	documented merge	imported or embedded as configured	low	medium	sync check + grep metrics	n/a	lint/managed policy partial	merge into git-workflow + managed policy	report §3.1; sync map
shared-rule:git-workflow	shared-rule	shared/rules/git-workflow.md	shared/rules/git-workflow.md	-		git-workflow shared guidance	high	partial	none	imported or embedded as configured	low	medium	sync check + grep metrics	n/a	lint/managed policy partial	keep	report §3.1; sync map
shared-rule:issue-completeness	shared-rule	shared/rules/issue-completeness.md	shared/rules/issue-completeness.md	-		issue-completeness shared guidance	high	partial	none	not imported by default	low	medium	sync check + grep metrics	n/a	lint/managed policy partial	keep	report §3.1; sync map
shared-rule:karpathy-guidelines	shared-rule	shared/rules/karpathy-guidelines.md	shared/rules/core-contract.md	-	always-on	scoped implementation discipline	high	partial	core contract	imported or embedded	low	medium	sync + context metrics	n/a	lint/managed policy partial	merge/core	Claude 5 context modernization
shared-rule:learnings	shared-rule	shared/rules/learnings.md	shared/rules/learnings.md	-		learnings shared guidance	high	partial	none	not imported by default	low	medium	sync check + grep metrics	n/a	lint/managed policy partial	keep/lazy	report §3.1; sync map
shared-rule:markdown-rules	shared-rule	shared/rules/markdown-rules.md	shared/rules/markdown-rules.md	-		markdown-rules shared guidance	high	partial	none	imported or embedded as configured	low	medium	sync check + grep metrics	n/a	lint/managed policy partial	keep	report §3.1; sync map
shared-rule:no-fallback	shared-rule	shared/rules/no-fallback.md	-	-		no-fallback shared guidance	low	partial	core-contract + python-guidelines	absorbed into core-contract principle and python-guidelines	low	low	grep metrics	n/a	lint/managed policy partial	merge/core-contract+python-guidelines	report §3.1; 2026-07-26 leaf-rule dedup
shared-rule:python-guidelines	shared-rule	shared/rules/python-guidelines.md	shared/rules/python-guidelines.md	-		python-guidelines shared guidance	high	partial	none	not imported by default	low	medium	sync check + grep metrics	n/a	lint/managed policy partial	keep	report §3.1; sync map
shared-rule:quality-priority	shared-rule	shared/rules/quality-priority.md	shared/rules/core-contract.md	-	always-on	quality priority guidance	high	partial	core contract	imported or embedded	low	medium	sync + context metrics	n/a	lint/managed policy partial	merge/core	Claude 5 context modernization
shared-rule:scope-discipline	shared-rule	shared/rules/scope-discipline.md	-	-		scope-discipline shared guidance	medium	partial	documented merge	imported or embedded as configured	low	medium	sync check + grep metrics	n/a	lint/managed policy partial	merge into decision-integrity	report §3.1; sync map
shared-rule:self-improvement	shared-rule	shared/rules/self-improvement.md	shared/rules/self-improvement.md	-		self-improvement shared guidance	high	partial	none	imported or embedded as configured	low	medium	sync check + grep metrics	n/a	lint/managed policy partial	keep	report §3.1; sync map
shared-rule:test-policy	shared-rule	shared/rules/test-policy.md	shared/rules/test-policy.md	-		test-policy shared guidance	high	partial	none	imported or embedded as configured	low	medium	sync check + grep metrics	n/a	lint/managed policy partial	keep	report §3.1; sync map
shared-rule:workspace-hygiene	shared-rule	shared/rules/workspace-hygiene.md	shared/rules/workspace-hygiene.md	-		workspace-hygiene shared guidance	high	partial	none	imported or embedded as configured	low	medium	sync check + grep metrics	n/a	lint/managed policy partial	keep	report §3.1; sync map
mechanism:hook-metrics	validation	-	scripts/measure-hook-injection.py	-		measure controlled hook systemMessage bytes and bound	high	none	metrics invokes	release-time	fixture drift	low	test-hook-context	n/a	yes	add	inventory audit / tests / report
mechanism:context-runtime-audit	validation	-	scripts/audit-context-runtime.sh	-	context-runtime	verify effective Claude/Codex memory, plugin, symlink, and skill discovery state	high	vendor plugin/feature listing	bootstrap/check-runtime partial	post-bootstrap/live acceptance	vendor CLI output drift	high	test-audit-context-runtime/live run	zero-inference Claude probe	yes	add	Claude/Codex CLI JSON and debug discovery
mechanism:metrics	validation	-	scripts/measure-metrics.sh	-		reproducible before/after metrics including injection bytes	high	none	report consistency	release-time	stale classification	medium	test-measure-metrics/report consistency	n/a	yes	add/expand	inventory audit / tests / report
mechanism:model-pin-scanner	validation	-	scripts/lib/scan-model-pins.py	-		parse supported YAML/JSON/TOML model routing syntax fail-closed	high	none	none	on demand/event	low	high	validator and metric negative fixtures	n/a	yes	add/keep	tests/CI
mechanism:package	validation	-	scripts/package-release.sh	-		git-archive package and release lint	high	git archive	none	release-time	artifact contamination	high	package --check	n/a	yes	add	inventory audit / tests / report
mechanism:policy-checker	validation	-	scripts/check-managed-policy.py	-		validate managed/user split and reject project/local security policy surfaces	high	none	installer shares checker	install/CI	schema drift	high	test-managed-policy negative fixtures	n/a	yes	add	inventory audit / tests / report
mechanism:runtime-doctor	validation	-	scripts/check-runtime.sh	-		fail closed on unsupported XDG/runtime versions	high	claude doctor partial	none	install/session check	environment false positive	medium	test-check-runtime	n/a	yes	add/harden	inventory audit / tests / report
mechanism:source-verifier	validation	-	scripts/verify-requirements-source.sh	-		verify external PDF against source manifest	high	sha256 tool	none	review-time	wrong source file	high	test-requirements-source	n/a	yes	add	inventory audit / tests / report
mechanism:sync-rules	validation	shared/bin/sync-shared-rules.sh	shared/bin/sync-shared-rules.sh	-		synchronize shared rules into consumer documents	high	none	manual copies	release-time	stale embeds	medium	test-sync-shared-rules	n/a	yes	keep/harden	inventory audit / tests / report
mechanism:validator	validation	scripts/validate-layout.sh	scripts/validate-layout.sh	-		deterministic structure/security/release contract gate	high	none	config-audit skill delegates	CI	false positive	high	test-validate-layout	n/a	yes	expand	inventory audit / tests / report
contract:context-consumers	contract	-	docs/contracts/context-consumers.tsv	-		context load and consumer declaration	high	none	validator parsing	change-time	stale consumer	high	validator negative fixtures	n/a	yes	add	Claude 5 context modernization
contract:skill-dependencies	contract	-	docs/contracts/skill-dependencies.tsv	-		cross-skill runtime dependency contract	high	none	manifest discovery	change-time	missing runtime dependency	high	validator negative fixtures	n/a	yes	add	Claude skill dependency repair 2026-07-29
contract:skill-authority	contract	-	docs/contracts/skill-authority.tsv	-		skill mode side-effect contract	high	none	tool approval supplements	change-time	authority drift	high	validator + workflow tests	n/a	yes	add	Claude 5 context modernization
validation:fixture-old-layout-lib	validation-test	tests/lib/fixture-old-layout.sh	tests/lib/fixture-old-layout.sh	-		construct deterministic legacy layout fixtures	high	none	none	CI/test-only	fixture drift	medium	direct CI execution	n/a	yes	keep	.github/workflows/ci.yml
validation:test-agmsg-state-home	validation-test	tests/test-agmsg-state-home.sh	tests/test-agmsg-state-home.sh	-		verify agmsg runtime state stays outside the repository	high	none	none	CI/test-only	fixture drift	medium	direct CI execution	n/a	yes	keep	.github/workflows/ci.yml
validation:test-audit-context-runtime	validation-test	-	tests/test-audit-context-runtime.sh	-	context-runtime	verify runtime audit parsing, discovery, plugin, and broken-link failures	high	none	none	CI/test-only	fixture drift	medium	direct CI execution	n/a	yes	add	.github/workflows/ci.yml
validation:test-bootstrap	validation-test	tests/test-bootstrap.sh	tests/test-bootstrap.sh	-		verify manifest installation, managed-policy prerequisite, and drift handling	high	none	none	CI/test-only	fixture drift	medium	direct CI execution	n/a	yes	keep	.github/workflows/ci.yml
validation:test-check-runtime	validation-test	-	tests/test-check-runtime.sh	-		verify runtime version, XDG, and project-policy fail-closed gates	high	none	none	CI/test-only	fixture drift	medium	direct CI execution	n/a	yes	add	.github/workflows/ci.yml
validation:test-config-change-hook	validation-test	-	tests/test-config-change-hook.sh	-		verify ConfigChange official schema and source-specific policy routing	high	none	none	CI/test-only	fixture drift	medium	direct CI execution	n/a	yes	add	.github/workflows/ci.yml
validation:test-fixture-old-layout	validation-test	tests/test-fixture-old-layout.sh	tests/test-fixture-old-layout.sh	-		provide legacy-layout migration fixture assertions	high	none	none	CI/test-only	fixture drift	medium	direct CI execution	n/a	yes	keep	.github/workflows/ci.yml
validation:test-gh-start-contract	validation-test	-	tests/test-gh-start-contract.sh	-		verify gh-start single-owner and issue parser contracts	high	none	none	CI/test-only	fixture drift	medium	direct CI execution	n/a	yes	add	.github/workflows/ci.yml
validation:test-git-operations-contract	validation-test	-	tests/test-git-operations-contract.sh	-		verify git-operations context trigger and authority-derived loading contract	high	none	none	CI/test-only	fixture drift	medium	direct CI execution	n/a	yes	add	.github/workflows/ci.yml
validation:test-hook-context	validation-test	-	tests/test-hook-context.sh	-		verify bounded JSON-safe SessionStart/PostCompact messages	high	none	none	CI/test-only	fixture drift	medium	direct CI execution	n/a	yes	add	.github/workflows/ci.yml
validation:test-managed-policy	validation-test	-	tests/test-managed-policy.sh	-		verify managed policy installation and lower-scope rejection	high	none	none	CI/test-only	fixture drift	medium	direct CI execution	n/a	yes	add	.github/workflows/ci.yml
validation:test-measure-metrics	validation-test	-	tests/test-measure-metrics.sh	-		verify reproducible metrics and fail-closed model scanner	high	none	none	CI/test-only	fixture drift	medium	direct CI execution	n/a	yes	add	.github/workflows/ci.yml
validation:test-migration	validation-test	tests/test-migration.sh	tests/test-migration.sh	-		verify legacy migration and managed-policy integration	high	none	none	CI/test-only	fixture drift	medium	direct CI execution	n/a	yes	keep	.github/workflows/ci.yml
validation:test-pre-bash-hook	validation-test	-	tests/test-pre-bash-hook.sh	-		verify PreToolUse project-policy, .env, amend, and device guards	high	none	none	CI/test-only	fixture drift	medium	direct CI execution	n/a	yes	add	.github/workflows/ci.yml
validation:test-private-routing-contract	validation-test	-	tests/test-private-routing-contract.sh	-		verify private-routing locator and priority contract	high	none	none	CI/test-only	fixture drift	medium	direct CI execution	n/a	yes	add	.github/workflows/ci.yml
validation:test-report-consistency	validation-test	-	tests/test-report-consistency.sh	-		verify report metrics match measured source of truth	high	none	none	CI/test-only	fixture drift	medium	direct CI execution	n/a	yes	add	.github/workflows/ci.yml
validation:test-requirements-source	validation-test	-	tests/test-requirements-source.sh	-		verify content-addressed requirements source identity	high	none	none	CI/test-only	fixture drift	medium	direct CI execution	n/a	yes	add	.github/workflows/ci.yml
validation:test-sync-shared-rules	validation-test	tests/test-sync-shared-rules.sh	tests/test-sync-shared-rules.sh	-		verify generated shared-rule sections are synchronized	high	none	none	CI/test-only	fixture drift	medium	direct CI execution	n/a	yes	keep	.github/workflows/ci.yml
validation:test-uvw	validation-test	-	tests/test-uvw.sh	-		verify sandbox-compatible uv state relocation	high	none	none	CI/test-only	fixture drift	medium	direct CI execution	n/a	yes	add	.github/workflows/ci.yml
validation:test-validate-layout	validation-test	tests/test-validate-layout.sh	tests/test-validate-layout.sh	-		verify validator positive and negative fixtures	high	none	none	CI/test-only	fixture drift	medium	direct CI execution	n/a	yes	keep	.github/workflows/ci.yml
